Samples	Result	ImpGenos	Experimental
NA18498	NN	0	0
NA18502	II	1/1	0/1
NA18505	II	1/1	0/1
NA18507	II	1	1
NA18508	II	1/1	1/1
NA18517	II	1/1	0/1
NA18519	NN	0	0
NA18867	NN	0/0	0/1
NA18870	II	1/1	1/1
NA18910	II	1	1
NA19092	II	1	1
NA19098	NN	0	0
NA19099	NI	0/1	1/1
NA19102	NN	0/0	0/1
NA19108	NN	0/0	0/1
NA19118	NI	0/1	0/0
NA19119	II	1	1
NA19129	NN	0/0	0/0
NA19130	NN	0	0
NA19141	NN	0	0
NA19146	NN	0	1
NA19150	NN	0	0
NA19152	NI	0/1	1/1
NA19160	NN	0	1
NA19171	II	1	1
NA19189	II	1	0
NA19204	NI	0/1	0/1
NA19206	NI	0/1	0/1
NA19207	II	1	0
NA19209	II	1/1	1/1
NA19213	NN	0	0
NA19240	NN	0/0	0/0
NA11829	NN	0	0
NA11830	NI	0/1	0/1
NA11831	NN	0	0
NA11832	NN	0/0	0/0
NA11840	NN	0/0	0/0
NA11881	NN	0	0
NA11994	NN	0	0
NA11995	NN	0/0	0/0
NA12004	NN	0/0	0/0
NA12005	II	1	1
NA12043	NN	0	0
NA12044	NN	0/0	0/0
NA12144	NN	0	0
NA12154	NN	0	0
NA12155	NN	0	0
NA12156	NI	0/1	0/1
NA12234	NI	0/1	0/1
NA12717	NN	0/0	0/0
NA12750	II	1	1
NA12760	NN	0	0
NA12761	NN	0/0	0/0
NA12762	NN	0	0
NA12763	NN	0/0	0/0
NA12812	NN	0	0
NA12813	NN	0/0	0/1
NA12814	II	1	1
NA12815	NI	0/1	0/1
NA12872	II	1	1
NA12873	NN	0/0	0/0
NA12874	II	1	1
NA12878	NN	0/0	0/0
NA18526	II	1/1	1/1
NA18537	NN	0/0	0/0
NA18550	NN	0/0	0/0
NA18555	NN	0/0	0/0
NA18562	NN	0	0
NA18563	NN	0	0
NA18582	NI	0/1	0/1
NA18603	NN	0	1
NA18606	NN	0	0
NA18621	II	1	1
NA18622	II	1	1
NA18628	NN	0/0	0/0
NA18632	NN	0	0
NA18636	NN	0	0
NA18647	NN	0	0
NA18942	NI	0/1	0/1
NA18945	NN	0	0
NA18947	NN	0/0	0/0
NA18951	NI	0/1	0/1
NA18952	NN	0	0
NA18953	NN	0	0
NA18956	NI	0/1	1/1
NA18965	II	1	1
NA18970	NN	0	0
NA18973	NI	0/1	0/1
NA18977	NN	0	0
NA18987	NI	0/1	0/1
NA18990	NN	0	0
NA18995	II	1	1
NA19003	NN	0/0	0/0
NA19010	NN	0/0	0/0
