Samples	Result	ImpGenos	Experimental
NA06985	NI	0/1	0/0
NA06994	NN	0/0	0/0
NA07000	NN	0/0	0/0
NA07048	NI	0/1	0/1
NA07056	NN	0/0	0/0
NA07357	NN	0/0	0/0
NA10847	NI	0/1	0/0
NA10851	NN	0/0	0/0
NA11829	NN	0/0	0/0
NA11830	NN	0/0	0/0
NA11831	NN	0/0	0/0
NA11832	NI	0/1	0/0
NA11840	NN	0/0	0/0
NA11881	NI	0/1	0/0
NA11992	NI	0/1	0/1
NA11994	NN	0/0	0/0
NA11995	NI	0/1	0/0
NA12003	NN	0/0	0/0
NA12004	NN	0/0	0/0
NA12005	NN	0/0	0/0
NA12006	NN	0/0	0/0
NA12043	NN	0/0	0/0
NA12044	NN	0/0	0/0
NA12144	NN	0/0	0/0
NA12154	NN	0/0	0/0
NA12155	NN	0/0	0/0
NA12156	NI	0/1	0/0
NA12234	NI	0/1	0/0
NA12249	NN	0/0	0/0
NA12716	NN	0/0	0/0
NA12717	NN	0/0	0/0
NA12750	NN	0/0	0/0
NA12751	NN	0/0	0/0
NA12760	NN	0/0	0/0
NA12761	NI	0/1	0/0
NA12762	NN	0/0	0/0
NA12763	NN	0/0	0/0
NA12812	NN	0/0	0/0
NA12813	NN	0/0	0/0
NA12814	NN	0/0	0/0
NA12815	NN	0/0	0/0
NA12872	NN	0/0	0/0
NA12873	NI	0/1	0/1
NA12874	NN	0/0	0/0
NA12878	NN	0/0	0/0
NA20502	NI	0/1	0/1
NA20504	NN	0/0	0/0
NA20505	NN	0/0	0/0
NA20506	NN	0/0	0/0
NA20508	NN	0/0	0/0
NA20509	NN	0/0	0/0
NA20510	NN	0/0	0/0
NA20512	NN	0/0	0/0
NA20515	NI	0/1	0/0
NA20516	NN	0/0	0/0
NA20517	NN	0/0	0/0
NA20518	NN	0/0	0/0
NA20519	NI	0/1	0/0
NA20520	NN	0/0	0/0
NA20521	NN	0/0	0/0
NA20522	NN	0/0	0/0
NA20524	NN	0/0	0/0
NA20525	NN	0/0	0/0
NA20527	NN	0/0	0/0
NA20528	NN	0/0	0/0
NA20529	NN	0/0	0/0
NA20530	NN	0/0	0/0
NA20531	NN	0/0	0/0
NA20534	NN	0/0	0/0
NA20535	NN	0/0	0/0
NA20538	NN	0/0	0/0
NA20539	NN	0/0	0/0
NA20540	NN	0/0	0/0
NA20541	NN	0/0	0/0
NA20542	NI	0/1	0/1
NA20543	NI	0/1	0/0
NA20544	NN	0/0	0/0
NA20581	NN	0/0	0/0
NA20582	NN	0/0	0/0
NA20585	NN	0/0	0/0
NA20586	NN	0/0	0/0
NA20588	NN	0/0	0/0
NA20589	NN	0/0	0/0
NA20752	NN	0/0	0/0
NA20753	NI	0/1	0/1
NA20754	NI	0/1	0/1
NA20755	NI	0/1	0/0
NA20756	NN	0/0	0/0
NA20757	NI	0/1	0/1
NA20758	NN	0/0	0/0
NA20759	NN	0/0	0/0
NA20760	NN	0/0	0/0
NA20761	NN	0/0	0/0
NA20765	NI	0/1	0/1
NA20766	NN	0/0	0/0
NA20768	NN	0/0	0/0
NA20769	NI	0/1	0/0
NA20770	NI	0/1	0/0
NA20771	NN	0/0	0/0
NA20772	NN	0/0	0/0
NA20773	NN	0/0	0/0
NA20774	NI	0/1	0/1
NA20775	NI	0/1	0/0
NA20778	NI	0/1	0/0
NA20783	NN	0/0	0/0
NA20785	NI	0/1	0/0
NA20786	NI	0/1	0/0
NA20787	NN	0/0	0/0
NA20790	NN	0/0	0/0
NA20792	NN	0/0	0/0
NA20795	NN	0/0	0/0
NA20796	NN	0/0	0/0
NA20797	NN	0/0	0/0
NA20798	NN	0/0	0/0
NA20799	NN	0/0	0/0
NA20800	NN	0/0	0/0
NA20801	NI	0/1	0/1
NA20802	NN	0/0	0/0
NA20803	NN	0/0	0/0
NA20804	NI	0/1	0/1
NA20805	NN	0/0	0/0
NA20806	NN	0/0	0/0
NA20807	NN	0/0	0/0
NA20808	NN	0/0	0/0
NA20809	NI	0/1	0/1
NA20810	NN	0/0	0/0
NA20811	NN	0/0	0/0
NA20812	NI	0/1	0/1
NA20813	NN	0/0	0/0
NA20815	NN	0/0	0/0
NA20818	NN	0/0	0/0
NA20819	NI	0/1	0/1
NA20826	NN	0/0	0/0
NA20828	NN	0/0	0/0
