Samples	Result	ImpGenos	Experimental
NA06985	NN	0/0	0/0
NA06991	NI	0/1	0/1
NA06993	II	1	1
NA06994	NN	0	0
NA07000	NI	0/1	1/1
NA07019	NN	0/0	0/0
NA07022	NN	0	0
NA07029	II	1	1
NA07034	II	1	1
NA07048	NN	0	0
NA07055	NN	0/0	0/0
NA07056	NN	0/0	0/0
NA07345	NI	0/1	0/0
NA07348	NN	0/0	0/0
NA07357	NN	0	0
NA10830	NN	0	0
NA10831	NN	0/0	0/0
NA10835	NN	0	0
NA10838	NN	0	0
NA10839	NI	0/1	1/1
NA10846	NN	0	0
NA10847	II	1/1	0/1
NA10851	NN	0	0
NA10854	NN	0/0	0/0
NA10855	NN	0/0	0/0
NA10856	NN	0	0
NA10857	NN	0	0
NA10859	NI	0/1	0/1
NA10860	NN	0	0
NA10861	NN	0/0	0/1
NA10863	NN	0/0	0/0
NA11829	NN	0	0
NA11830	NN	0/0	0/0
NA11831	NN	0	0
NA11832	NN	0/0	0/0
NA11839	NN	0	0
NA11840	NN	0/0	0/0
NA11881	NN	0	0
NA11882	II	1/1	1/1
NA11992	NN	0	0
NA11993	NN	0/0	0/0
NA11994	NN	0	0
NA11995	NN	0/0	0/1
NA12003	NN	0	0
NA12004	NN	0/0	0/1
NA12005	II	1	1
NA12006	NI	0/1	0/1
NA12043	NN	0	0
NA12044	NI	0/1	0/1
NA12056	II	1	1
NA12057	NN	0/0	0/0
NA12144	NN	0	0
NA12145	NN	0/0	0/0
NA12146	NN	0	0
NA12154	NN	0	0
NA12155	NN	0	0
NA12156	NN	0/0	0/1
NA12234	NI	0/1	0/0
NA12236	NI	0/1	0/1
NA12239	II	1/1	0/1
NA12248	NN	0	0
NA12249	NN	0/0	0/0
NA12264	NN	0	0
NA12707	II	1	1
NA12716	NN	0	0
NA12717	NI	0/1	0/1
NA12740	NN	0/0	0/0
NA12750	NN	0	0
NA12751	NN	0/0	0/0
NA12752	II	1	1
NA12753	NN	0/0	0/0
NA12760	NN	0	0
NA12761	II	1/1	1/1
NA12762	NN	0	0
NA12763	NN	0/0	0/0
NA12801	NN	0	0
NA12802	NI	0/1	0/1
NA12812	II	1	1
NA12813	NN	0/0	0/0
NA12814	II	1	1
NA12815	NN	0/0	0/0
NA12864	II	1	1
NA12865	NI	0/1	0/1
NA12872	NN	0	0
NA12873	II	1/1	1/1
NA12874	II	1	1
NA12875	NN	0/0	0/0
NA12878	NI	0/1	0/1
NA12891	NN	0	0
NA12892	NI	0/1	0/1
NA20502	NN	0/0	0/0
NA20504	II	1/1	0/1
NA20505	NI	0/1	0/1
NA20506	NN	0/0	0/0
NA20508	NN	0/0	0/0
NA20509	NN	0	0
NA20510	II	1	1
NA20512	NN	0	0
NA20515	NN	0	0
NA20516	NN	0	0
NA20517	NI	0/1	0/1
NA20518	NN	0	0
NA20519	II	1	1
NA20520	NN	0	0
NA20521	NN	0	0
NA20522	NN	0/0	0/0
NA20524	NN	0	0
NA20525	II	1	1
NA20527	NN	0	0
NA20528	NN	0	0
NA20529	NI	0/1	0/1
NA20530	NN	0/0	0/0
NA20531	NN	0/0	0/0
NA20534	II	1	1
NA20535	NN	0/0	0/0
NA20538	NN	0	0
NA20539	NN	0	0
NA20540	NN	0/0	0/0
NA20541	NN	0/0	0/0
NA20542	NN	0/0	0/0
NA20543	II	1	1
NA20544	NN	0	0
NA20581	NN	0	0
NA20582	NI	0/1	0/1
NA20585	NN	0/0	0/0
NA20586	II	1	1
NA20588	NN	0	0
NA20589	NN	0/0	0/1
NA20752	NN	0	0
NA20753	NI	0/1	0/1
NA20754	NN	0	0
NA20755	NN	0	0
NA20756	NN	0/0	0/0
NA20757	NI	0/1	0/0
NA20758	NN	0	0
NA20759	NN	0	0
NA20760	NN	0/0	0/0
NA20761	NN	0/0	0/0
NA20765	NN	0	0
NA20766	NN	0/0	0/0
NA20768	NN	0/0	0/0
NA20769	NN	0/0	0/0
NA20770	II	1	1
NA20771	NI	0/1	0/0
NA20772	NI	0/1	0/1
NA20773	NN	0/0	0/0
NA20774	NN	0/0	0/0
NA20778	NN	0	0
NA20783	NN	0	0
NA20785	NN	0	0
NA20786	NI	0/1	0/1
NA20787	NN	0	0
NA20790	NN	0/0	0/0
NA20792	NN	0	0
NA20795	NN	0/0	0/0
NA20796	II	1	1
NA20797	NN	0/0	0/1
NA20798	NN	0	0
NA20799	NI	0/1	0/1
NA20800	NN	0/0	0/0
NA20801	II	1	1
NA20802	NI	0/1	0/1
NA20804	NN	0/0	0/0
NA20805	NN	0	0
NA20806	NN	0	0
NA20807	NN	0/0	0/0
NA20808	II	1/1	1/1
NA20809	II	1	0
NA20810	NN	0	0
NA20811	NN	0	0
NA20812	NN	0	0
NA20813	NN	0/0	0/0
NA20815	NN	0	0
NA20818	NN	0/0	0/1
NA20819	NI	0/1	0/1
NA20826	NN	0/0	0/0
NA20828	NN	0/0	0/0
