Samples	Result	ImpGenos	Experimental
NA19327	II	1/1	1/1
NA19328	II	1/1	1/1
NA19332	II	1/1	1/1
NA19334	II	1	1
NA19346	II	1	1
NA19347	II	1	1
NA19350	II	1	1
NA19360	II	1	1
NA19372	NN	0	1
NA19374	II	1	1
NA19375	II	1	1
NA19376	II	1	1
NA19377	II	1/1	1/1
NA19379	II	1/1	1/1
NA19380	II	1	1
NA19384	II	1	1
NA19385	NN	0	1
NA19390	II	1/1	1/1
NA19391	II	1/1	1/1
NA19393	II	1	1
NA19394	II	1	1
NA19397	NN	0	1
NA19399	II	1/1	0/1
NA19403	NI	0/1	0/1
NA19404	II	1/1	1/1
NA19428	II	1	1
NA19429	II	1	1
NA19430	NN	0	1
NA19431	II	1/1	1/1
NA19434	NI	0/1	0/1
NA19435	II	1/1	1/1
NA19436	NI	0/1	0/1
NA19437	II	1/1	1/1
NA19438	II	1/1	1/1
NA19439	II	1/1	1/1
NA19440	II	1/1	1/1
NA19443	NN	0	1
NA19445	II	1/1	1/1
NA19446	II	1/1	1/1
NA19448	II	1	1
NA19449	II	1/1	1/1
NA19451	II	1	1
NA19452	II	1	1
NA19455	II	1	1
NA19456	II	1/1	1/1
NA19457	II	1/1	1/1
NA19462	II	1/1	1/1
NA19463	II	1/1	1/1
NA19466	II	1	1
NA19467	II	1/1	1/1
NA19468	II	1/1	1/1
NA19471	II	1/1	1/1
NA19472	II	1/1	1/1
NA19473	II	1/1	1/1
NA19474	II	1/1	1/1
NA06985	NN	0/0	0/0
NA06991	NI	0/1	0/1
NA06993	II	1	1
NA06994	NN	0	0
NA07000	NN	0/0	0/0
NA07019	NN	0/0	0/0
NA07022	NN	0	0
NA07029	NN	0	0
NA07034	NN	0	0
NA07048	NN	0	0
NA07055	II	1/1	0/1
NA07056	NN	0/0	0/0
NA07345	NN	0/0	0/0
NA07348	NN	0/0	0/0
NA07357	NN	0	0
NA10830	NN	0	0
NA10831	NN	0/0	0/0
NA10835	II	1	1
NA10838	NN	0	0
NA10839	NI	0/1	0/1
NA10846	NN	0	0
NA10847	NN	0/0	0/0
NA10851	NN	0	0
NA10854	NN	0/0	0/0
NA10855	NN	0/0	0/0
NA10856	NN	0	0
NA10857	NN	0	0
NA10859	NN	0/0	0/0
NA10860	NN	0	0
NA10861	NI	0/1	0/1
NA10863	NI	0/1	1/1
NA11829	II	1	1
NA11830	NN	0/0	0/0
NA11831	NN	0	0
NA11832	NN	0/0	0/0
NA11839	NN	0	0
NA11840	NI	0/1	0/1
NA11881	NN	0	0
NA11882	NN	0/0	0/0
NA11992	NN	0	0
NA11993	NN	0/0	0/0
NA11994	II	1	1
NA11995	NN	0/0	0/0
NA12003	NN	0	0
NA12004	NN	0/0	0/0
NA12005	NN	0	0
NA12006	NI	0/1	0/1
NA12043	II	1	1
NA12044	NN	0/0	0/0
NA12056	NN	0	0
NA12057	NN	0/0	0/0
NA12144	II	1	1
NA12145	NN	0/0	0/1
NA12146	NN	0	0
NA12154	II	1	1
NA12155	NN	0	0
NA12156	NN	0/0	0/0
NA12234	NN	0/0	0/1
NA12236	NN	0/0	0/0
NA12239	NN	0/0	0/0
NA12248	NN	0	0
NA12249	NI	0/1	0/1
NA12264	II	1	1
NA12707	NN	0	0
NA12716	NN	0	0
NA12717	NN	0/0	0/0
NA12740	NN	0/0	0/0
NA12750	NN	0	0
NA12751	NN	0/0	0/0
NA12752	NN	0	1
NA12753	NN	0/0	0/0
NA12760	NN	0	0
NA12761	NN	0/0	1/1
NA12762	NN	0	0
NA12763	NN	0/0	0/0
NA12801	NN	0	0
NA12802	NN	0/0	0/0
NA12812	NN	0	0
NA12813	NN	0/0	0/0
NA12814	NN	0	0
NA12815	NN	0/0	0/0
NA12864	NN	0	0
NA12865	NN	0/0	0/0
NA12872	NN	0	0
NA12873	NN	0/0	0/0
NA12874	NN	0	0
NA12875	NN	0/0	0/1
NA12878	NN	0/0	0/0
NA12891	NN	0	0
NA12892	NN	0/0	0/0
NA20502	NN	0/0	0/0
NA20504	NI	0/1	0/1
NA20505	NN	0/0	0/0
NA20506	NN	0/0	0/0
NA20508	NN	0/0	0/0
NA20509	NN	0	0
NA20510	NN	0	0
NA20512	NN	0	0
NA20515	II	1	1
NA20516	NN	0	0
NA20517	NN	0/0	0/0
NA20518	NN	0	0
NA20519	NN	0	0
NA20520	NN	0	0
NA20521	NN	0	0
NA20522	NI	0/1	0/1
NA20524	NN	0	0
NA20525	NN	0	0
NA20527	NN	0	0
NA20528	NN	0	0
NA20529	NN	0/0	0/0
NA20530	NN	0/0	0/0
NA20531	NN	0/0	0/0
NA20534	II	1	1
NA20535	NN	0/0	0/0
NA20538	NN	0	0
NA20539	NN	0	0
NA20540	NI	0/1	0/1
NA20541	NN	0/0	0/0
NA20542	NN	0/0	0/1
NA20543	NN	0	0
NA20544	NN	0	0
NA20581	II	1	1
NA20582	NN	0/0	0/0
NA20585	NN	0/0	0/0
NA20586	NN	0	0
NA20588	II	1	1
NA20589	NN	0/0	0/0
NA20752	NN	0	0
NA20753	NN	0/0	0/0
NA20754	NN	0	0
NA20755	II	1	1
NA20756	NN	0/0	0/0
NA20757	NN	0/0	0/0
NA20758	NN	0	0
NA20759	NN	0	0
NA20760	NN	0/0	0/0
NA20761	NN	0/0	0/0
NA20765	NN	0	0
NA20766	NN	0/0	0/1
NA20768	NN	0/0	0/0
NA20769	NN	0/0	0/0
NA20770	NN	0	0
NA20771	NI	0/1	0/1
NA20772	NN	0/0	0/0
NA20773	NI	0/1	0/0
NA20774	NN	0/0	0/0
NA20778	NN	0	0
NA20783	NN	0	0
NA20785	NN	0	0
NA20786	II	1/1	1/1
NA20787	NN	0	0
NA20790	NI	0/1	0/1
NA20792	II	1	1
NA20795	NI	0/1	0/1
NA20796	NN	0	0
NA20797	NN	0/0	0/0
NA20798	NN	0	0
NA20799	NN	0/0	0/1
NA20800	NN	0/0	0/0
NA20801	NN	0	0
NA20802	NI	0/1	0/1
NA20803	NN	0	0
NA20804	NN	0/0	0/1
NA20805	NN	0	0
NA20806	NN	0	0
NA20807	NN	0/0	0/0
NA20808	NI	0/1	0/1
NA20809	NN	0	0
NA20810	NN	0	0
NA20811	NN	0	0
NA20812	NN	0	0
NA20813	NN	0/0	0/0
NA20815	II	1	1
NA20818	NN	0/0	0/0
NA20819	NN	0/0	0/0
NA20826	II	1/1	1/1
NA20828	NN	0/0	0/0
NA18526	NN	0/0	0/0
NA18532	NN	0/0	0/0
NA18537	NN	0/0	0/0
NA18542	NI	0/1	0/1
NA18545	II	1/1	1/1
NA18547	NI	0/1	0/1
NA18550	NN	0/0	0/0
NA18552	II	1/1	1/1
NA18555	NN	0/0	0/0
NA18558	NN	0	0
NA18561	NN	0	0
NA18562	NN	0	0
NA18563	II	1	1
NA18564	NI	0/1	0/1
NA18566	NI	0/1	0/1
NA18570	NN	0/0	0/0
NA18571	NN	0/0	0/0
NA18572	NN	0	0
NA18573	NN	0/0	0/0
NA18577	NN	0/0	0/0
NA18579	NI	0/1	0/1
NA18582	NN	0/0	0/0
NA18592	NI	0/1	0/1
NA18593	NN	0/0	0/1
NA18603	NN	0	0
NA18605	II	1	1
NA18606	II	1	1
NA18608	NN	0	0
NA18609	NN	0	0
NA18611	NN	0	0
NA18612	NN	0	0
NA18620	NN	0	0
NA18621	NN	0	0
NA18622	NN	0	0
NA18623	NN	0	0
NA18624	NN	0	1
NA18628	NN	0/0	0/0
NA18632	NN	0	0
NA18633	NN	0	0
NA18635	NN	0	0
NA18636	NN	0	0
NA18637	NN	0	1
NA18647	NN	0	0
NA18940	II	1	1
NA18942	NN	0/0	0/0
NA18943	II	1	1
NA18944	NN	0	0
NA18945	II	1	1
NA18947	II	1/1	1/1
NA18948	II	1	1
NA18949	NI	0/1	0/1
NA18951	NI	0/1	0/1
NA18952	II	1	1
NA18953	NN	0	0
NA18956	NN	0/0	0/0
NA18959	II	1	1
NA18960	NN	0	0
NA18961	II	1	1
NA18964	NN	0/0	0/0
NA18965	II	1	1
NA18966	NN	0	0
NA18967	NN	0	0
NA18968	NN	0/0	0/0
NA18969	NN	0/0	0/0
NA18970	NN	0	0
NA18971	NN	0	0
NA18972	NI	0/1	0/1
NA18973	NI	0/1	0/1
NA18974	NN	0	0
NA18975	NI	0/1	1/1
NA18976	NN	0/0	0/0
NA18977	NN	0	0
NA18978	NI	0/1	0/1
NA18980	NN	0/0	0/0
NA18981	NN	0/0	0/0
NA18987	NI	0/1	0/1
NA18990	NN	0	0
NA18991	NN	0/0	0/0
NA18992	NI	0/1	0/1
NA18994	NN	0	0
NA18995	NN	0	0
NA18997	NN	0/0	0/0
NA18998	NN	0/0	0/0
NA18999	NN	0/0	0/0
NA19000	NN	0	0
NA19003	NN	0/0	0/0
NA19005	II	1	1
NA19007	NN	0	1
NA19010	NI	0/1	0/1
NA19012	NN	0	0
