Samples	Result	ImpGenos	Experimental
NA19209	NN	0/0	0/0
NA19210	NN	0/0	0/0
NA19211	NN	0/0	0/0
NA19213	NI	0/1	0/1
NA19221	II	1/1	0/1
NA19222	NI	0/1	0/1
NA19223	NN	0/0	0/1
NA19238	NN	0/0	0/0
NA19239	NN	0/0	0/0
NA19240	NN	0/0	0/0
NA19307	NI	0/1	0/1
NA19308	NN	0/0	0/0
NA19309	NN	0/0	0/0
NA19310	NN	0/0	0/0
NA19314	NI	0/1	0/1
NA19315	NN	0/0	0/0
NA19316	NN	0/0	0/1
NA19317	NN	0/0	0/0
NA19319	NN	0/0	0/0
NA19321	NN	0/0	0/0
NA19324	NN	0/0	0/0
NA19327	NN	0/0	0/0
NA19328	NN	0/0	0/0
NA19332	NN	0/0	0/0
NA19334	NN	0/0	0/0
NA19346	NI	0/1	0/1
NA19347	NN	0/0	0/0
NA19350	NI	0/1	0/1
NA19360	NI	0/1	0/1
NA19372	NN	0/0	0/0
NA19374	NN	0/0	0/0
NA19375	NI	0/1	0/1
NA19376	NI	0/1	0/1
NA19377	NN	0/0	0/0
NA19379	NN	0/0	0/0
NA19380	NN	0/0	0/0
NA19384	NI	0/1	0/1
NA19385	NN	0/0	0/1
NA19390	NN	0/0	0/0
NA19391	NN	0/0	0/0
NA19393	NI	0/1	0/1
NA19394	NI	0/1	0/1
NA19397	NI	0/1	0/1
NA19399	NN	0/0	0/0
NA19403	NN	0/0	0/0
NA19404	NN	0/0	0/0
NA19428	NN	0/0	0/0
NA19429	NN	0/0	0/0
NA19430	NN	0/0	0/0
NA19431	NI	0/1	0/1
NA19434	NN	0/0	0/0
NA19435	NN	0/0	0/0
NA19436	NI	0/1	0/1
NA19437	NN	0/0	0/0
NA19438	NN	0/0	0/1
NA19439	II	1/1	1/1
NA19440	NN	0/0	0/0
NA19443	NN	0/0	0/0
NA19445	NN	0/0	0/0
NA19446	NN	0/0	0/0
NA19448	NN	0/0	0/0
NA19449	NN	0/0	0/0
NA19451	NN	0/0	0/0
NA19452	NN	0/0	0/0
NA19455	NN	0/0	0/0
NA19456	NN	0/0	0/0
NA19457	NI	0/1	0/1
NA19462	NN	0/0	0/0
NA19463	NI	0/1	0/1
NA19466	NN	0/0	0/0
NA19467	NN	0/0	0/0
NA19468	NI	0/1	0/1
NA19471	NN	0/0	0/0
NA19472	NN	0/0	0/0
NA19473	NN	0/0	0/1
NA19474	NN	0/0	0/0
NA06985	NN	0/0	0/0
NA06991	NN	0/0	0/0
NA06993	NN	0/0	0/0
NA06994	NN	0/0	0/0
NA07000	NN	0/0	0/0
NA07019	NN	0/0	0/0
NA07022	NN	0/0	0/0
NA07029	NN	0/0	0/0
NA07034	NN	0/0	0/0
NA07048	NN	0/0	0/0
NA07055	NN	0/0	0/0
NA07056	NN	0/0	0/0
NA07345	NN	0/0	0/0
NA07348	NN	0/0	0/0
NA07357	NN	0/0	0/0
NA10830	NN	0/0	0/0
NA10831	NN	0/0	0/0
NA10835	NN	0/0	0/0
NA10838	NN	0/0	0/0
NA10839	NN	0/0	0/0
NA10846	NN	0/0	0/0
NA10847	NN	0/0	0/0
NA10851	NN	0/0	0/0
NA10854	NN	0/0	0/0
NA10855	NI	0/1	0/1
NA10856	NN	0/0	0/0
NA10857	NN	0/0	0/0
NA10859	NN	0/0	0/0
NA10860	NN	0/0	0/0
NA10861	NN	0/0	0/0
NA10863	NN	0/0	0/0
NA11829	NN	0/0	0/0
NA11830	NN	0/0	0/0
NA11831	NI	0/1	0/1
NA11832	NN	0/0	0/0
NA11839	NN	0/0	0/0
NA11840	NN	0/0	0/0
NA11881	NN	0/0	0/0
NA11882	NN	0/0	0/0
NA11992	NN	0/0	0/0
NA11993	NN	0/0	0/0
NA11994	NN	0/0	0/0
NA11995	NN	0/0	0/0
NA12003	NN	0/0	0/0
NA12004	NN	0/0	0/0
NA12005	NN	0/0	0/0
NA12006	NN	0/0	0/0
NA12043	NN	0/0	0/0
NA12044	NN	0/0	0/0
NA12056	NN	0/0	0/0
NA12057	NN	0/0	0/0
NA12144	NN	0/0	0/0
NA12145	NN	0/0	0/0
NA12146	NN	0/0	0/0
NA12154	NN	0/0	0/0
NA12155	NN	0/0	0/0
NA12156	NN	0/0	0/0
NA12234	NN	0/0	0/0
NA12239	NN	0/0	0/0
NA12248	NN	0/0	0/0
NA12249	NN	0/0	0/0
NA12264	NN	0/0	0/0
NA12707	NN	0/0	0/0
NA12716	NN	0/0	0/0
NA12717	NN	0/0	0/0
NA12740	NN	0/0	0/0
NA12750	NN	0/0	0/0
NA12751	NN	0/0	0/0
NA12752	NN	0/0	0/0
NA12753	NN	0/0	0/0
NA12760	NN	0/0	0/0
NA12761	NN	0/0	0/0
NA12762	NN	0/0	0/0
NA12763	NN	0/0	0/0
NA12801	NN	0/0	0/0
NA12802	NN	0/0	0/0
NA12812	NN	0/0	0/0
NA12813	NN	0/0	0/0
NA12814	NN	0/0	0/0
NA12815	NN	0/0	0/1
NA12864	NN	0/0	0/0
NA12865	NN	0/0	0/0
NA12872	NN	0/0	0/0
NA12873	NN	0/0	0/1
NA12874	NN	0/0	0/0
NA12875	NN	0/0	0/0
NA12878	NN	0/0	0/0
NA12891	NN	0/0	0/0
NA12892	NN	0/0	0/0
NA20502	NN	0/0	0/0
NA20504	NN	0/0	0/0
NA20505	NN	0/0	0/0
NA20506	NN	0/0	0/0
NA20508	NN	0/0	0/0
NA20509	NN	0/0	0/0
NA20510	NN	0/0	0/0
NA20512	NN	0/0	0/0
NA20515	NN	0/0	0/0
NA20516	NN	0/0	0/0
NA20517	NN	0/0	0/0
NA20518	NN	0/0	0/0
NA20519	NN	0/0	0/0
NA20520	NN	0/0	0/0
NA20521	NN	0/0	0/0
NA20522	NN	0/0	0/0
NA20524	NN	0/0	0/1
NA20525	NN	0/0	0/0
NA20527	NN	0/0	0/0
NA20528	NN	0/0	0/0
NA20529	NN	0/0	0/0
NA20530	NN	0/0	0/0
NA20531	NN	0/0	0/0
NA20534	NN	0/0	0/0
NA20535	NN	0/0	0/0
NA20538	NN	0/0	0/0
NA20539	NN	0/0	0/0
NA20540	NN	0/0	0/0
NA20541	NN	0/0	0/0
NA20542	NN	0/0	0/0
NA20543	NN	0/0	0/0
NA20544	NN	0/0	0/0
NA20581	NN	0/0	0/0
NA20582	NN	0/0	0/0
NA20585	NN	0/0	0/0
NA20586	NN	0/0	0/0
NA20588	NN	0/0	0/0
NA20589	NN	0/0	0/0
NA20752	NN	0/0	0/0
NA20753	NN	0/0	0/0
NA20754	NN	0/0	0/0
NA20755	NN	0/0	0/0
NA20756	NN	0/0	0/0
NA20757	NN	0/0	0/0
NA20758	NN	0/0	0/0
NA20759	NN	0/0	0/0
NA20760	NN	0/0	0/0
NA20761	NN	0/0	0/0
NA20765	NN	0/0	0/1
NA20766	NN	0/0	0/1
NA20768	NN	0/0	0/0
NA20769	NN	0/0	0/0
NA20770	NN	0/0	0/0
NA20771	NN	0/0	0/0
NA20772	NN	0/0	0/0
NA20773	NN	0/0	0/0
NA20774	NN	0/0	0/0
NA20778	NN	0/0	0/0
NA20783	NN	0/0	0/0
NA20785	NN	0/0	0/0
NA20786	NN	0/0	0/0
NA20787	NN	0/0	0/0
NA20790	NN	0/0	0/0
NA20792	NN	0/0	0/0
NA20795	NN	0/0	0/0
NA20796	NN	0/0	0/0
NA20797	NN	0/0	0/0
NA20798	NN	0/0	0/0
NA20799	NN	0/0	0/0
NA20800	NN	0/0	0/0
NA20801	NN	0/0	0/0
NA20802	NN	0/0	0/0
NA20803	NN	0/0	0/0
NA20804	NN	0/0	0/0
NA20805	NN	0/0	0/0
NA20806	NN	0/0	0/0
NA20807	NN	0/0	0/0
NA20808	NN	0/0	0/0
NA20809	NN	0/0	0/0
NA20810	NN	0/0	0/0
NA20811	NN	0/0	0/0
NA20812	NN	0/0	0/0
NA20813	NN	0/0	0/0
NA20815	NN	0/0	0/0
NA20818	NN	0/0	0/1
NA20819	NN	0/0	0/0
NA20826	NN	0/0	0/0
NA20828	NN	0/0	0/0
NA18526	NN	0/0	0/0
NA18532	NN	0/0	0/0
NA18537	NN	0/0	0/0
NA18542	NN	0/0	0/0
NA18545	NN	0/0	0/0
NA18547	NN	0/0	0/0
NA18550	NN	0/0	0/0
NA18552	NN	0/0	0/0
NA18555	NN	0/0	0/0
NA18558	NN	0/0	0/0
NA18561	NN	0/0	0/0
NA18562	NN	0/0	0/0
NA18563	NN	0/0	0/0
NA18564	NN	0/0	0/0
NA18566	NN	0/0	0/0
NA18570	NN	0/0	0/0
NA18571	NN	0/0	0/0
NA18572	NN	0/0	0/0
NA18573	NN	0/0	0/0
NA18577	NN	0/0	0/0
NA18579	NN	0/0	0/0
NA18582	NN	0/0	0/0
NA18592	NN	0/0	0/0
NA18593	NN	0/0	0/0
NA18603	NN	0/0	0/0
NA18605	NN	0/0	0/0
NA18608	NN	0/0	0/0
NA18609	NN	0/0	0/0
NA18611	NN	0/0	0/0
NA18612	NI	0/1	0/0
NA18620	NN	0/0	0/0
NA18621	NN	0/0	0/0
NA18622	NN	0/0	0/0
NA18623	NN	0/0	0/0
NA18624	NN	0/0	0/0
NA18632	NN	0/0	0/0
NA18633	NN	0/0	0/0
NA18635	NN	0/0	0/0
NA18636	NN	0/0	0/0
NA18637	NN	0/0	0/0
NA18940	NN	0/0	0/0
NA18942	NN	0/0	0/0
NA18943	NN	0/0	0/0
NA18944	NN	0/0	0/0
NA18945	NN	0/0	0/0
NA18947	NN	0/0	0/0
NA18948	NN	0/0	0/0
NA18949	NI	0/1	0/0
NA18951	NN	0/0	0/0
NA18952	NN	0/0	0/0
NA18953	NN	0/0	0/0
NA18956	NN	0/0	0/0
NA18959	NN	0/0	0/0
NA18960	NN	0/0	0/0
NA18961	NN	0/0	0/0
NA18965	NN	0/0	0/0
NA18966	NN	0/0	0/0
NA18967	NN	0/0	0/0
NA18968	NI	0/1	0/0
NA18969	NN	0/0	0/0
NA18970	NN	0/0	0/0
NA18971	NN	0/0	0/0
NA18972	NN	0/0	0/0
NA18973	NN	0/0	0/0
NA18974	NN	0/0	0/0
NA18975	NN	0/0	0/0
NA18976	NI	0/1	0/1
NA18978	NN	0/0	0/0
NA18980	NI	0/1	0/0
NA18981	NN	0/0	0/0
NA18987	NN	0/0	0/0
NA18990	NN	0/0	0/0
NA18991	NN	0/0	0/0
NA18992	NN	0/0	0/0
NA18994	NN	0/0	0/0
NA18997	NN	0/0	0/0
NA18998	NN	0/0	0/0
NA18999	NN	0/0	0/0
NA19000	NN	0/0	0/0
NA19003	NN	0/0	0/0
NA19005	NN	0/0	0/0
NA19007	NN	0/0	0/0
NA19012	NI	0/1	0/1
