Samples	Result	ImpGenos	Experimental
NA18498	NI	0/1	0/1
NA18502	NN	0/0	0/0
NA18505	NI	0/1	0/1
NA18507	NN	0/0	0/0
NA18508	NI	0/1	0/1
NA18517	NN	0/0	0/0
NA18519	NN	0/0	0/0
NA18867	NN	0/0	0/0
NA18870	NI	0/1	0/1
NA18910	NN	0/0	0/0
NA19092	NN	0/0	0/0
NA19098	NI	0/1	0/1
NA19099	NN	0/0	0/0
NA19102	NN	0/0	0/0
NA19108	NN	0/0	0/0
NA19118	NN	0/0	0/0
NA19119	NN	0/0	0/0
NA19129	NN	0/0	0/0
NA19130	NN	0/0	0/0
NA19141	NN	0/0	0/0
NA19146	NI	0/1	0/1
NA19150	NN	0/0	0/0
NA19152	NN	0/0	0/0
NA19160	NN	0/0	0/0
NA19171	NN	0/0	0/0
NA19189	NN	0/0	0/0
NA19204	NN	0/0	0/0
NA19206	NN	0/0	0/0
NA19207	NI	0/1	0/1
NA19209	NN	0/0	0/0
NA19213	NN	0/0	0/0
NA19240	NN	0/0	0/0
NA06985	NI	0/1	0/1
NA07000	NN	0/0	0/0
NA07056	NN	0/0	0/0
NA07348	NN	0/0	0/0
NA10847	NN	0/0	0/0
NA11829	NN	0/0	0/0
NA11830	NN	0/0	0/0
NA11831	NN	0/0	0/0
NA11832	NN	0/0	0/0
NA11840	NN	0/0	0/0
NA11881	NN	0/0	0/0
NA11994	NN	0/0	0/0
NA11995	NN	0/0	0/0
NA12004	NN	0/0	0/0
NA12005	NN	0/0	0/0
NA12043	NI	0/1	0/1
NA12044	NN	0/0	0/0
NA12144	NN	0/0	0/0
NA12154	NI	0/1	0/1
NA12155	NN	0/0	0/0
NA12156	NN	0/0	0/0
NA12234	NN	0/0	0/0
NA12717	NN	0/0	0/0
NA12750	NN	0/0	0/0
NA12760	NN	0/0	0/0
NA12761	NI	0/1	0/1
NA12762	NN	0/0	0/0
NA12763	NN	0/0	0/0
NA12812	NN	0/0	0/0
NA12813	NI	0/1	0/1
NA12814	NN	0/0	0/0
NA12815	NN	0/0	0/0
NA12872	NN	0/0	0/0
NA12873	NN	0/0	0/0
NA12874	NN	0/0	0/0
NA12878	NN	0/0	0/0
			
