Samples	Result	ImpGenos	Experimental
NA18498	NN	0	0
NA18502	II	1/1	0/0
NA18505	NN	0/0	0/0
NA18507	II	1	0
NA18508	II	1/1	0/1
NA18517	NN	0/0	0/0
NA18519	II	1	1
NA18867	NI	0/1	0/1
NA18870	NN	0/0	0/1
NA18910	NN	0	0
NA19092	NN	0	0
NA19098	II	1	1
NA19099	NN	0/0	0/1
NA19102	NN	0/0	0/0
NA19108	NN	0/0	0/1
NA19118	NI	0/1	0/1
NA19119	NN	0	0
NA19129	NN	0/0	0/1
NA19130	II	1	1
NA19141	NN	0	0
NA19146	NN	0	0
NA19150	NN	0	0
NA19152	NN	0/0	0/0
NA19160	NN	0	0
NA19171	NN	0	0
NA19189	NN	0	0
NA19204	NN	0/0	0/0
NA19206	II	1/1	0/1
NA19207	NN	0	0
NA19209	NN	0/0	0/1
NA19213	II	1	1
NA19240	NI	0/1	0/1
NA11829	NN	0	0
NA11830	II	1/1	1/1
NA11831	II	1	1
NA11832	NI	0/1	0/1
NA11840	II	1/1	1/1
NA11881	NN	0	0
NA11994	II	1	0
NA11995	II	1/1	1/1
NA12004	NI	0/1	0/1
NA12005	II	1	1
NA12043	II	1	1
NA12044	II	1/1	0/0
NA12144	II	1	1
NA12154	NN	0	0
NA12155	NN	0	0
NA12156	NI	0/1	0/1
NA12234	NN	0/0	0/0
NA12717	NI	0/1	0/1
NA12750	II	1	1
NA12760	NN	0	0
NA12761	NN	0/0	0/0
NA12762	II	1	0
NA12763	NI	0/1	0/1
NA12812	II	1	1
NA12813	II	1/1	1/1
NA12814	II	1	0
NA12815	II	1/1	1/1
NA12872	II	1	1
NA12873	NI	0/1	0/1
NA12874	II	1	0
NA12878	II	1/1	1/1
NA18526	NN	0/0	0/1
NA18537	NI	0/1	0/1
NA18550	NI	0/1	0/1
NA18555	NI	0/1	0/1
NA18562	II	1	1
NA18563	II	1	1
NA18582	NI	0/1	1/1
NA18603	II	1	1
NA18606	II	1	1
NA18621	II	1	1
NA18622	NN	0	0
NA18628	NN	0/0	0/1
NA18632	II	1	1
NA18636	II	1	1
NA18647	II	1	1
NA18942	NN	0/0	0/0
NA18945	NN	0	1
NA18947	NI	0/1	1/1
NA18951	NI	0/1	0/1
NA18952	NN	0	1
NA18953	NN	0	0
NA18956	NN	0/0	0/0
NA18965	NN	0	0
NA18970	II	1	1
NA18973	NN	0/0	0/1
NA18977	NN	0	1
NA18987	NN	0/0	0/1
NA18990	II	1	1
NA18995	II	1	1
NA19003	II	1/1	0/1
NA19010	II	1/1	1/1
