Samples	Result	ImpGenos	Experimental
NA11829	II	1	1
NA11830	NN	0/0	0/0
NA11831	NN	0	0
NA11832	II	1/1	1/1
NA11840	II	1/1	1/1
NA11881	NN	0	0
NA11994	NN	0	0
NA11995	NN	0/0	0/0
NA12004	NN	0/0	0/0
NA12005	NN	0	1
NA12043	NN	0	0
NA12044	NN	0/0	0/0
NA12144	NN	0	0
NA12154	NN	0	1
NA12155	NN	0	0
NA12156	NN	0/0	0/0
NA12234	NN	0/0	0/1
NA12717	II	1/1	0/1
NA12750	NN	0	0
NA12760	NN	0	0
NA12761	NN	0/0	0/0
NA12762	NN	0	0
NA12763	NN	0/0	0/0
NA12812	NN	0	0
NA12813	NN	0/0	0/0
NA12814	NN	0	0
NA12815	NN	0/0	0/0
NA12872	NN	0	0
NA12873	NN	0/0	0/1
NA12874	NN	0	0
NA12878	NN	0/0	0/0
