Samples	Result	ImpGenos	Experimental
NA18498	NN	0/0	0/1
NA18500	II	1/1	0/1
NA18501	II	1/1	0/1
NA18502	II	1/1	0/1
NA18503	NN	0/0	0/0
NA18504	NN	0/0	0/0
NA18505	NI	0/1	0/1
NA18506	NN	0/0	0/1
NA18507	II	1/1	1/1
NA18508	NN	0/0	0/0
NA18515	II	1/1	1/1
NA18516	NN	0/0	0/1
NA18517	II	1/1	0/1
NA18519	II	1/1	1/1
NA18521	II	1/1	1/1
NA18522	NN	0/0	0/1
NA18523	NN	0/0	0/1
NA18852	II	1/1	1/1
NA18853	NI	0/1	0/1
NA18854	NN	0/0	0/1
NA18855	NN	0/0	0/0
NA18856	II	1/1	1/1
NA18857	NI	0/1	0/1
NA18858	II	1/1	0/1
NA18859	II	1/1	0/1
NA18860	II	1/1	1/1
NA18861	NN	0/0	0/1
NA18862	NN	0/0	0/0
NA18863	NN	0/0	0/0
NA18867	II	1/1	0/1
NA18870	NI	0/1	0/1
NA18871	II	1/1	1/1
NA18872	II	1/1	1/1
NA18910	II	1/1	0/1
NA18912	II	1/1	1/1
NA18913	II	1/1	0/0
NA18914	II	1/1	0/1
NA19027	II	1/1	0/0
NA19028	NN	0/0	0/1
NA19031	II	1/1	1/1
NA19035	NN	0/0	0/0
NA19036	NI	0/1	0/1
NA19038	II	1/1	1/1
NA19041	NI	0/1	0/1
NA19093	NN	0/0	0/0
NA19094	NN	0/0	0/1
NA19098	II	1/1	0/0
NA19099	NN	0/0	0/0
NA19100	NN	0/0	0/0
NA19101	II	1/1	1/1
NA19102	NI	0/1	0/1
NA19108	NI	0/1	0/1
NA19116	II	1/1	1/1
NA19118	II	1/1	1/1
NA19119	NI	0/1	0/1
NA19120	NN	0/0	0/1
NA19127	NI	0/1	0/1
NA19128	NN	0/0	0/1
NA19129	NN	0/0	0/1
NA19130	NN	0/0	0/0
NA19131	II	1/1	1/1
NA19132	II	1/1	0/1
NA19137	NN	0/0	0/0
NA19138	NN	0/0	0/1
NA19139	NI	0/1	0/1
NA19140	NN	0/0	0/0
NA19141	NN	0/0	0/1
NA19142	NN	0/0	0/0
NA19143	II	1/1	0/1
NA19144	II	1/1	1/1
NA19145	II	1/1	1/1
NA19146	II	1/1	1/1
NA19150	II	1/1	1/1
NA19152	II	1/1	1/1
NA19153	II	1/1	1/1
NA19154	II	1/1	1/1
NA19159	NN	0/0	0/0
NA19160	NN	0/0	0/0
NA19161	NN	0/0	0/0
NA19171	II	1/1	1/1
NA19172	NI	0/1	0/1
NA19173	NI	0/1	0/1
NA19189	II	1/1	0/1
NA19200	NN	0/0	0/0
NA19201	NI	0/1	0/1
NA19202	NN	0/0	0/0
NA19203	NN	0/0	0/1
NA19204	II	1/1	0/0
NA19205	NN	0/0	0/1
NA19206	NN	0/0	0/1
NA19207	NI	0/1	0/1
NA19208	NN	0/0	0/0
NA19209	II	1/1	0/1
NA19210	II	1/1	1/1
NA19211	NN	0/0	0/1
NA19213	II	1/1	0/1
NA19221	NI	0/1	0/1
NA19222	NN	0/0	0/1
NA19223	II	1/1	0/1
NA19238	II	1/1	0/1
NA19239	II	1/1	0/1
NA19240	NN	0/0	0/0
NA19307	NI	0/1	0/0
NA19308	NI	0/1	0/1
NA19309	NN	0/0	0/1
NA19310	II	1/1	1/1
NA19314	II	1/1	1/1
NA19316	II	1/1	1/1
NA19317	NN	0/0	0/0
NA19318	II	1/1	1/1
NA19319	II	1/1	0/1
NA19321	NN	0/0	0/0
NA19324	NN	0/0	0/0
NA19328	NN	0/0	0/1
NA19332	II	1/1	1/1
NA19334	II	1/1	0/1
NA19346	NN	0/0	0/1
NA19347	II	1/1	1/1
NA19350	NN	0/0	0/0
NA19360	II	1/1	0/1
NA19372	NI	0/1	0/1
NA19374	NN	0/0	0/0
NA19375	II	1/1	1/1
NA19376	NN	0/0	0/1
NA19377	II	1/1	0/1
NA19379	II	1/1	1/1
NA19380	II	1/1	1/1
NA19384	II	1/1	0/1
NA19385	II	1/1	0/1
NA19390	II	1/1	0/0
NA19391	II	1/1	1/1
NA19393	II	1/1	0/1
NA19394	II	1/1	0/1
NA19397	NN	0/0	0/0
NA19399	II	1/1	1/1
NA19403	NI	0/1	0/1
NA19404	NI	0/1	0/1
NA19428	II	1/1	1/1
NA19429	II	1/1	0/0
NA19430	II	1/1	0/1
NA19431	II	1/1	1/1
NA19434	II	1/1	0/0
NA19435	NN	0/0	0/1
NA19436	NN	0/0	0/0
NA19437	NI	0/1	0/1
NA19438	II	1/1	1/1
NA19439	NI	0/1	0/1
NA19440	II	1/1	0/1
NA19443	NN	0/0	0/0
NA19445	II	1/1	0/1
NA19446	II	1/1	0/1
NA19448	II	1/1	0/0
NA19449	NI	0/1	0/1
NA19451	II	1/1	0/1
NA19452	II	1/1	1/1
NA19455	NN	0/0	0/1
NA19456	NN	0/0	0/0
NA19457	II	1/1	1/1
NA19462	II	1/1	1/1
NA19463	NI	0/1	0/1
NA19466	II	1/1	1/1
NA19467	II	1/1	1/1
NA19468	II	1/1	0/1
NA19472	II	1/1	0/1
NA19473	NN	0/0	0/1
NA19474	NN	0/0	0/0
NA06985	NN	0/0	0/0
NA06991	NN	0/0	0/0
NA06993	NN	0/0	0/0
NA06994	NN	0/0	0/0
NA07000	NN	0/0	0/0
NA07019	NN	0/0	0/0
NA07022	NN	0/0	0/0
NA07029	NN	0/0	0/0
NA07034	NN	0/0	0/0
NA07048	NN	0/0	0/0
NA07055	NN	0/0	0/0
NA07056	NN	0/0	0/0
NA07345	NN	0/0	0/0
NA07348	NN	0/0	0/0
NA07357	NN	0/0	0/0
NA10830	NN	0/0	0/0
NA10831	NN	0/0	0/0
NA10835	NN	0/0	0/0
NA10838	NN	0/0	0/0
NA10839	NN	0/0	0/0
NA10846	NN	0/0	0/0
NA10847	NN	0/0	0/0
NA10851	NN	0/0	0/0
NA10854	NN	0/0	0/0
NA10855	NN	0/0	0/0
NA10856	NN	0/0	0/0
NA10857	NN	0/0	0/0
NA10859	NN	0/0	0/0
NA10860	NN	0/0	0/0
NA10861	NN	0/0	0/0
NA10863	NN	0/0	0/0
NA11829	NN	0/0	0/0
NA11830	NN	0/0	0/0
NA11831	NN	0/0	0/0
NA11832	NN	0/0	0/0
NA11839	NN	0/0	0/0
NA11840	NN	0/0	0/0
NA11881	NN	0/0	0/0
NA11882	NN	0/0	0/0
NA11992	NN	0/0	0/0
NA11993	NI	0/1	0/1
NA11994	NN	0/0	0/0
NA11995	NN	0/0	0/0
NA12003	NN	0/0	0/0
NA12004	NN	0/0	0/0
NA12005	NN	0/0	0/0
NA12006	NN	0/0	0/0
NA12043	NN	0/0	0/0
NA12044	NN	0/0	0/0
NA12056	NN	0/0	0/0
NA12057	NN	0/0	0/0
NA12144	NN	0/0	0/0
NA12145	NN	0/0	0/0
NA12146	NN	0/0	0/0
NA12154	NN	0/0	0/0
NA12155	NN	0/0	0/0
NA12156	NN	0/0	0/0
NA12234	NN	0/0	0/0
NA12239	NN	0/0	0/0
NA12248	NN	0/0	0/0
NA12249	NN	0/0	0/0
NA12264	NN	0/0	0/0
NA12707	NN	0/0	0/0
NA12716	NN	0/0	0/0
NA12717	NN	0/0	0/0
NA12740	NN	0/0	0/0
NA12750	NN	0/0	0/0
NA12751	NN	0/0	0/0
NA12752	NN	0/0	0/0
NA12753	NN	0/0	0/0
NA12760	NN	0/0	0/0
NA12761	NN	0/0	0/0
NA12762	NN	0/0	0/0
NA12763	NN	0/0	0/0
NA12801	NN	0/0	0/0
NA12802	NN	0/0	0/0
NA12812	NN	0/0	0/0
NA12813	NN	0/0	0/0
NA12814	NN	0/0	0/0
NA12815	NN	0/0	0/0
NA12864	NN	0/0	0/0
NA12865	NN	0/0	0/0
NA12872	NN	0/0	0/0
NA12873	NN	0/0	0/0
NA12874	NN	0/0	0/0
NA12875	NN	0/0	0/0
NA12878	NN	0/0	0/0
NA12891	NN	0/0	0/0
NA12892	NN	0/0	0/0
NA20502	NN	0/0	0/0
NA20504	NI	0/1	0/1
NA20505	NN	0/0	0/0
NA20506	NN	0/0	0/0
NA20508	NN	0/0	0/0
NA20509	NN	0/0	0/0
NA20510	NN	0/0	0/0
NA20512	NN	0/0	0/0
NA20515	NN	0/0	0/0
NA20516	NN	0/0	0/0
NA20517	NN	0/0	0/0
NA20518	NN	0/0	0/0
NA20519	NN	0/0	0/0
NA20520	NN	0/0	0/0
NA20521	NN	0/0	0/0
NA20522	NN	0/0	0/0
NA20524	NN	0/0	0/0
NA20525	NN	0/0	0/0
NA20527	NN	0/0	0/0
NA20528	NI	0/1	0/1
NA20529	NN	0/0	0/0
NA20530	NN	0/0	0/0
NA20531	NN	0/0	0/0
NA20534	NN	0/0	0/0
NA20535	NN	0/0	0/0
NA20538	NN	0/0	0/0
NA20539	NN	0/0	0/0
NA20540	NN	0/0	0/0
NA20541	NN	0/0	0/0
NA20542	NN	0/0	0/0
NA20543	NN	0/0	0/0
NA20544	NN	0/0	0/0
NA20581	NN	0/0	0/0
NA20582	NN	0/0	0/0
NA20585	NN	0/0	0/0
NA20586	NN	0/0	0/0
NA20588	NN	0/0	0/0
NA20589	NI	0/1	0/1
NA20752	NN	0/0	0/0
NA20753	NN	0/0	0/0
NA20754	NN	0/0	0/0
NA20755	NN	0/0	0/0
NA20756	NN	0/0	0/0
NA20757	NN	0/0	0/0
NA20758	NN	0/0	0/0
NA20759	NN	0/0	0/0
NA20760	NN	0/0	0/0
NA20761	NN	0/0	0/0
NA20765	NN	0/0	0/0
NA20766	NN	0/0	0/0
NA20768	NI	0/1	0/1
NA20769	NI	0/1	0/1
NA20770	NN	0/0	0/0
NA20771	NN	0/0	0/0
NA20772	NN	0/0	0/0
NA20773	NN	0/0	0/0
NA20774	NN	0/0	0/0
NA20775	NN	0/0	0/0
NA20778	NN	0/0	0/0
NA20783	NN	0/0	0/0
NA20785	NN	0/0	0/0
NA20786	NN	0/0	0/0
NA20790	NN	0/0	0/0
NA20792	NN	0/0	0/0
NA20795	NN	0/0	0/0
NA20796	NN	0/0	0/0
NA20797	NN	0/0	0/0
NA20798	NN	0/0	0/0
NA20799	NN	0/0	0/0
NA20800	NN	0/0	0/0
NA20801	NN	0/0	0/0
NA20802	NN	0/0	0/0
NA20803	NN	0/0	0/0
NA20804	NN	0/0	0/0
NA20805	NN	0/0	0/0
NA20806	NN	0/0	0/0
NA20807	NN	0/0	0/0
NA20808	NN	0/0	0/0
NA20809	NN	0/0	0/0
NA20810	NN	0/0	0/0
NA20811	NN	0/0	0/0
NA20812	NI	0/1	0/1
NA20813	NN	0/0	0/0
NA20815	NN	0/0	0/0
NA20818	NN	0/0	0/0
NA20819	NN	0/0	0/0
NA20826	NN	0/0	0/0
NA20828	NN	0/0	0/0
			
