Samples	Result	ImpGenos	Experimental
NA11829	NN	0/0	0/1
NA11830	NN	0/0	0/0
NA11831	NI	0/1	0/1
NA11832	NI	0/1	0/1
NA11840	NN	0/0	0/0
NA11881	II	1/1	1/1
NA11994	NI	0/1	0/1
NA11995	NI	0/1	0/1
NA12004	II	1/1	1/1
NA12005	NI	0/1	0/1
NA12043	NI	0/1	0/1
NA12044	II	1/1	1/1
NA12144	NN	0/0	0/0
NA12154	NN	0/0	0/0
NA12155	NI	0/1	0/1
NA12156	NI	0/1	1/1
NA12234	NN	0/0	0/0
NA12717	NN	0/0	0/0
NA12750	NI	0/1	0/1
NA12760	II	1/1	1/1
NA12761	II	1/1	0/1
NA12762	NN	0/0	0/0
NA12763	II	1/1	1/1
NA12812	NN	0/0	0/0
NA12813	NN	0/0	0/0
NA12814	NN	0/0	0/0
NA12815	NN	0/0	0/0
NA12872	NI	0/1	0/1
NA12873	NI	0/1	0/0
NA12874	NI	0/1	0/1
NA12878	NN	0/0	0/1
