Samples	Result	ImpGenos	Experimental
NA06985	NN	0/0	0/0
NA06991	NI	0/1	0/1
NA06993	II	1	1
NA06994	NN	0	0
NA07000	NN	0/0	0/0
NA07019	NN	0/0	0/0
NA07022	NN	0	0
NA07029	NN	0	0
NA07034	NN	0	0
NA07048	NN	0	0
NA07055	II	1/1	0/1
NA07056	NN	0/0	0/0
NA07345	NN	0/0	0/0
NA07348	NN	0/0	0/0
NA07357	NN	0	0
NA10830	NN	0	0
NA10831	NN	0/0	0/0
NA10835	II	1	1
NA10838	NN	0	0
NA10839	NI	0/1	0/1
NA10846	NN	0	0
NA10847	NN	0/0	0/0
NA10851	NN	0	0
NA10854	NN	0/0	0/0
NA10855	NN	0/0	0/0
NA10856	NN	0	0
NA10857	NN	0	0
NA10859	NN	0/0	0/0
NA10860	NN	0	0
NA10861	NI	0/1	0/1
NA10863	NI	0/1	1/1
NA11829	II	1	1
NA11830	NN	0/0	0/0
NA11831	NN	0	0
NA11832	NN	0/0	0/0
NA11839	NN	0	0
NA11840	NI	0/1	0/1
NA11881	NN	0	0
NA11882	NN	0/0	0/0
NA11992	NN	0	0
NA11993	NN	0/0	0/0
NA11994	II	1	1
NA11995	NN	0/0	0/0
NA12003	NN	0	0
NA12004	NN	0/0	0/0
NA12005	NN	0	0
NA12006	NI	0/1	0/1
NA12043	II	1	1
NA12044	NN	0/0	0/0
NA12056	NN	0	0
NA12057	NN	0/0	0/0
NA12144	II	1	1
NA12145	NN	0/0	0/1
NA12146	NN	0	0
NA12154	II	1	1
NA12155	NN	0	0
NA12156	NN	0/0	0/0
NA12234	NN	0/0	0/1
NA12236	NN	0/0	0/0
NA12239	NN	0/0	0/0
NA12248	NN	0	0
NA12249	NI	0/1	0/1
NA12264	II	1	1
NA12707	NN	0	0
NA12716	NN	0	0
NA12717	NN	0/0	0/0
NA12740	NN	0/0	0/0
NA12750	NN	0	0
NA12751	NN	0/0	0/0
NA12752	NN	0	1
NA12753	NN	0/0	0/0
NA12760	NN	0	0
NA12761	NN	0/0	1/1
NA12762	NN	0	0
NA12763	NN	0/0	0/0
NA12801	NN	0	0
NA12802	NN	0/0	0/0
NA12812	NN	0	0
NA12813	NN	0/0	0/0
NA12814	NN	0	0
NA12815	NN	0/0	0/0
NA12864	NN	0	0
NA12865	NN	0/0	0/0
NA12872	NN	0	0
NA12873	NN	0/0	0/0
NA12874	NN	0	0
NA12875	NN	0/0	0/1
NA12878	NN	0/0	0/0
NA12891	NN	0	0
NA12892	NN	0/0	0/0
NA20502	NN	0/0	0/0
NA20504	NI	0/1	0/1
NA20505	NN	0/0	0/0
NA20506	NN	0/0	0/0
NA20508	NN	0/0	0/0
NA20509	NN	0	0
NA20510	NN	0	0
NA20512	NN	0	0
NA20515	II	1	1
NA20516	NN	0	0
NA20517	NN	0/0	0/0
NA20518	NN	0	0
NA20519	NN	0	0
NA20520	NN	0	0
NA20521	NN	0	0
NA20522	NI	0/1	0/1
NA20524	NN	0	0
NA20525	NN	0	0
NA20527	NN	0	0
NA20528	NN	0	0
NA20529	NN	0/0	0/0
NA20530	NN	0/0	0/0
NA20531	NN	0/0	0/0
NA20534	II	1	1
NA20535	NN	0/0	0/0
NA20538	NN	0	0
NA20539	NN	0	0
NA20540	NI	0/1	0/1
NA20541	NN	0/0	0/0
NA20542	NN	0/0	0/1
NA20543	NN	0	0
NA20544	NN	0	0
NA20581	II	1	1
NA20582	NN	0/0	0/0
NA20585	NN	0/0	0/0
NA20586	NN	0	0
NA20588	II	1	1
NA20589	NN	0/0	0/0
NA20752	NN	0	0
NA20753	NN	0/0	0/0
NA20754	NN	0	0
NA20755	II	1	1
NA20756	NN	0/0	0/0
NA20757	NN	0/0	0/0
NA20758	NN	0	0
NA20759	NN	0	0
NA20760	NN	0/0	0/0
NA20761	NN	0/0	0/0
NA20765	NN	0	0
NA20766	NN	0/0	0/1
NA20768	NN	0/0	0/0
NA20769	NN	0/0	0/0
NA20770	NN	0	0
NA20771	NI	0/1	0/1
NA20772	NN	0/0	0/0
NA20773	NI	0/1	0/0
NA20774	NN	0/0	0/0
NA20778	NN	0	0
NA20783	NN	0	0
NA20785	NN	0	0
NA20786	II	1/1	1/1
NA20787	NN	0	0
NA20790	NI	0/1	0/1
NA20792	II	1	1
NA20795	NI	0/1	0/1
NA20796	NN	0	0
NA20797	NN	0/0	0/0
NA20798	NN	0	0
NA20799	NN	0/0	0/1
NA20800	NN	0/0	0/0
NA20801	NN	0	0
NA20802	NI	0/1	0/1
NA20803	NN	0	0
NA20804	NN	0/0	0/1
NA20805	NN	0	0
NA20806	NN	0	0
NA20807	NN	0/0	0/0
NA20808	NI	0/1	0/1
NA20809	NN	0	0
NA20810	NN	0	0
NA20811	NN	0	0
NA20812	NN	0	0
NA20813	NN	0/0	0/0
NA20815	II	1	1
NA20818	NN	0/0	0/0
NA20819	NN	0/0	0/0
NA20826	II	1/1	1/1
NA20828	NN	0/0	0/0
