Samples	Result	ImpGenos	Experimental
NA06985	II	1/1	1/1
NA06991	NI	0/1	0/1
NA06993	NI	0/1	0/1
NA06994	NI	0/1	0/1
NA07000	II	1/1	1/1
NA07019	II	1/1	1/1
NA07022	II	1/1	1/1
NA07029	II	1/1	1/1
NA07034	II	1/1	1/1
NA07048	NI	0/1	0/1
NA07055	NI	0/1	0/1
NA07056	II	1/1	1/1
NA07345	NI	0/1	0/1
NA07348	II	1/1	1/1
NA07357	NI	0/1	0/1
NA10830	II	1/1	1/1
NA10831	II	1/1	1/1
NA10835	II	1/1	1/1
NA10838	NN	0/0	0/0
NA10839	NI	0/1	0/1
NA10846	NI	0/1	0/1
NA10847	NI	0/1	0/1
NA10851	NN	0/0	0/1
NA10854	NI	0/1	0/1
NA10855	NN	0/0	0/0
NA10856	NI	0/1	0/1
NA10857	NI	0/1	0/1
NA10859	NI	0/1	0/1
NA10860	NI	0/1	0/1
NA10861	NI	0/1	0/1
NA10863	NN	0/0	0/1
NA11829	NN	0/0	0/0
NA11830	NN	0/0	0/1
NA11831	NN	0/0	0/1
NA11832	NN	0/0	0/0
NA11839	NN	0/0	0/0
NA11840	NI	0/1	0/1
NA11881	NI	0/1	0/1
NA11882	NN	0/0	0/0
NA11992	II	1/1	1/1
NA11993	NN	0/0	0/0
NA11994	II	1/1	1/1
NA11995	NI	0/1	0/1
NA12003	NN	0/0	0/1
NA12004	NN	0/0	0/0
NA12005	NN	0/0	0/0
NA12006	NI	0/1	0/1
NA12043	NI	0/1	0/1
NA12044	II	1/1	1/1
NA12056	NN	0/0	0/1
NA12057	NN	0/0	0/0
NA12144	NN	0/0	0/1
NA12145	NI	0/1	0/1
NA12146	NN	0/0	0/0
NA12154	NN	0/0	0/1
NA12155	II	1/1	1/1
NA12156	II	1/1	1/1
NA12234	NI	0/1	0/1
NA12236	NN	0/0	0/1
NA12239	II	1/1	1/1
NA12248	II	1/1	1/1
NA12249	NI	0/1	0/1
NA12264	NN	0/0	0/1
NA12707	II	1/1	1/1
NA12716	NI	0/1	0/1
NA12717	NN	0/0	0/1
NA12740	NI	0/1	0/1
NA12750	NI	0/1	0/1
NA12751	NN	0/0	0/0
NA12752	NN	0/0	0/0
NA12753	II	1/1	1/1
NA12760	NN	0/0	0/0
NA12761	NN	0/0	0/0
NA12762	II	1/1	1/1
NA12763	NN	0/0	0/1
NA12801	NN	0/0	0/0
NA12802	NI	0/1	0/1
NA12812	NN	0/0	0/0
NA12813	NN	0/0	0/0
NA12814	NI	0/1	0/1
NA12815	NN	0/0	0/0
NA12864	NI	0/1	0/1
NA12865	NI	0/1	0/1
NA12872	II	1/1	1/1
NA12873	NN	0/0	0/0
NA12874	II	1/1	1/1
NA12875	NN	0/0	0/0
NA12878	NI	0/1	0/1
NA12891	NI	0/1	0/1
NA12892	NI	0/1	0/1
NA20502	NN	0/0	0/0
NA20504	NI	0/1	0/1
NA20505	NN	0/0	0/0
NA20506	NI	0/1	0/1
NA20508	NI	0/1	0/1
NA20509	NN	0/0	0/0
NA20510	NN	0/0	0/0
NA20512	II	1/1	1/1
NA20515	NN	0/0	0/1
NA20516	NI	0/1	0/1
NA20517	NN	0/0	0/1
NA20518	II	1/1	1/1
NA20519	NN	0/0	0/1
NA20520	NN	0/0	0/0
NA20521	NI	0/1	0/1
NA20522	NN	0/0	0/0
NA20524	NN	0/0	0/1
NA20525	NI	0/1	0/1
