Samples	Result	ImpGenos	Experimental
NA18498	II	1/1	1/1
NA18502	II	1/1	1/1
NA18505	II	1/1	1/1
NA18507	II	1/1	1/1
NA18508	NN	0/0	0/0
NA18517	II	1/1	1/1
NA18519	II	1/1	1/1
NA18867	NI	0/1	0/1
NA18870	II	1/1	1/1
NA18910	II	1/1	1/1
NA19092	II	1/1	1/1
NA19098	II	1/1	1/1
NA19099	NI	0/1	0/1
NA19102	NI	0/1	0/1
NA19108	NI	0/1	0/1
NA19118	II	1/1	1/1
NA19119	NN	0/0	0/0
NA19129	NI	0/1	0/1
NA19130	II	1/1	1/1
NA19141	II	1/1	1/1
NA19146	II	1/1	1/1
NA19150	II	1/1	1/1
NA19152	II	1/1	1/1
NA19160	NI	0/1	0/1
NA19171	II	1/1	1/1
NA19189	NI	0/1	0/1
NA19204	II	1/1	1/1
NA19206	NI	0/1	0/1
NA19207	NI	0/1	0/1
NA19209	II	1/1	1/1
NA19213	II	1/1	1/1
NA19240	II	1/1	1/1
NA11829	II	1/1	1/1
NA11830	NI	0/1	0/1
NA11831	II	1/1	1/1
NA11832	II	1/1	1/1
NA11840	II	1/1	1/1
NA11881	II	1/1	1/1
NA11994	II	1/1	1/1
NA11995	II	1/1	1/1
NA12004	NI	0/1	0/1
NA12005	II	1/1	1/1
NA12043	NI	0/1	0/1
NA12044	NI	0/1	0/1
NA12144	NN	0/0	0/0
NA12154	II	1/1	1/1
NA12155	NI	0/1	0/1
NA12156	II	1/1	1/1
NA12234	II	1/1	1/1
NA12717	NI	0/1	0/1
NA12750	II	1/1	1/1
NA12760	NI	0/1	0/1
NA12761	II	1/1	0/1
NA12762	NI	0/1	0/1
NA12763	II	1/1	1/1
NA12812	II	1/1	1/1
NA12813	II	1/1	1/1
NA12814	II	1/1	1/1
NA12815	NN	0/0	0/0
NA12872	II	1/1	1/1
NA12873	NI	0/1	0/1
NA12874	NI	0/1	0/1
NA12878	NI	0/1	0/1
NA18526	II	1/1	1/1
NA18537	II	1/1	1/1
NA18550	NI	0/1	0/1
NA18555	II	1/1	1/1
NA18562	II	1/1	1/1
NA18563	NI	0/1	0/1
NA18582	II	1/1	1/1
NA18603	II	1/1	1/1
NA18606	NI	0/1	0/1
NA18621	NI	0/1	0/1
NA18622	II	1/1	1/1
NA18628	II	1/1	1/1
NA18632	NI	0/1	0/1
NA18636	II	1/1	1/1
NA18647	II	1/1	1/1
NA18942	NI	0/1	0/1
NA18945	NI	0/1	0/1
NA18947	NI	0/1	0/1
NA18951	NI	0/1	0/1
NA18952	NI	0/1	0/1
NA18953	NI	0/1	0/1
NA18956	NI	0/1	0/1
NA18965	NI	0/1	0/1
NA18970	NI	0/1	0/1
NA18973	II	1/1	1/1
NA18977	II	1/1	1/1
NA18987	II	1/1	1/1
NA18990	NI	0/1	0/1
NA18995	NI	0/1	0/1
NA19003	II	1/1	1/1
NA19010	NI	0/1	0/1
