Samples	Result	ImpGenos	Experimental
NA07022	NN	0/0	0/0
NA07029	NN	0/0	0/0
NA07034	NN	0/0	0/0
NA07048	NN	0/0	0/0
NA07055	NN	0/0	0/0
NA07056	NN	0/0	0/0
NA07345	NN	0/0	0/0
NA07348	NN	0/0	0/0
NA07357	NN	0/0	0/0
NA10830	NN	0/0	0/0
NA10831	NN	0/0	0/0
NA10835	NI	0/1	0/1
NA10838	NI	0/1	0/1
NA10839	NN	0/0	0/0
NA10846	NN	0/0	0/0
NA10847	NN	0/0	0/0
NA10851	II	1/1	1/1
NA10854	NN	0/0	0/0
NA10855	NN	0/0	0/1
NA10856	NN	0/0	0/0
NA10857	NN	0/0	0/1
NA10859	NN	0/0	0/0
NA10860	NN	0/0	0/0
NA10861	NN	0/0	0/0
NA10863	NN	0/0	0/0
NA11829	NI	0/1	0/1
NA11830	NN	0/0	0/0
NA11831	NN	0/0	0/0
NA11832	NN	0/0	0/1
NA11839	NN	0/0	0/0
NA11840	NN	0/0	0/0
NA11881	NN	0/0	0/0
NA11882	NN	0/0	0/0
NA11992	NN	0/0	0/0
NA11993	NN	0/0	0/0
NA11994	NN	0/0	0/0
NA11995	NN	0/0	0/0
NA12003	NI	0/1	0/1
NA12004	NI	0/1	0/1
NA12005	NN	0/0	0/0
NA12006	NI	0/1	0/1
NA12043	NN	0/0	0/1
NA12044	NN	0/0	0/0
NA12056	NI	0/1	0/1
NA12057	NI	0/1	0/1
NA12144	NN	0/0	0/0
NA12145	NN	0/0	0/0
NA12146	NN	0/0	0/0
NA12154	NN	0/0	0/0
NA12155	NN	0/0	0/0
NA12156	NI	0/1	0/1
NA12234	NN	0/0	0/0
NA12236	NN	0/0	0/0
NA12239	NN	0/0	0/0
NA12248	II	1/1	1/1
NA12249	NN	0/0	0/0
NA12264	NN	0/0	0/0
NA12707	NN	0/0	0/0
NA12716	NN	0/0	0/0
NA12717	NN	0/0	0/0
NA12740	NN	0/0	0/0
NA12750	NN	0/0	0/0
NA12751	NN	0/0	0/0
NA12752	NN	0/0	0/0
NA12753	NN	0/0	0/0
NA12760	NN	0/0	0/0
NA12761	NN	0/0	0/0
NA12762	NN	0/0	0/0
NA12763	NN	0/0	0/0
NA12801	NN	0/0	0/0
NA12802	NN	0/0	0/0
NA12812	NN	0/0	0/0
NA12813	NN	0/0	0/0
NA12814	NN	0/0	0/0
NA12815	NN	0/0	0/0
NA12864	NN	0/0	0/0
NA12865	NN	0/0	0/0
NA12872	NN	0/0	0/0
NA12873	NN	0/0	0/0
NA12874	NN	0/0	0/0
NA12875	NN	0/0	0/0
NA12878	NN	0/0	0/0
NA12891	NN	0/0	0/0
NA12892	NN	0/0	0/0
NA20502	NN	0/0	0/0
NA20504	NN	0/0	0/0
NA20505	NN	0/0	0/0
NA20506	NN	0/0	0/0
NA20508	NN	0/0	0/0
NA20509	NN	0/0	0/0
NA20510	NN	0/0	0/0
NA20512	NN	0/0	0/0
NA20515	NN	0/0	0/0
NA20516	II	1/1	1/1
NA20517	NN	0/0	0/0
NA20518	NN	0/0	0/0
NA20519	NN	0/0	0/0
NA20520	NN	0/0	0/0
NA20521	NI	0/1	0/1
NA20522	NN	0/0	0/1
NA20524	NN	0/0	0/0
NA20525	NN	0/0	0/1
NA20527	NI	0/1	0/1
NA20528	NN	0/0	0/0
NA20529	NN	0/0	0/0
NA20530	NN	0/0	0/0
NA20531	NI	0/1	0/1
NA20534	NN	0/0	0/0
NA20535	NN	0/0	0/0
NA20538	NI	0/1	0/1
NA20539	NN	0/0	0/0
NA20540	NN	0/0	0/0
NA20541	NN	0/0	0/1
NA20542	NN	0/0	0/0
NA20543	NN	0/0	0/0
NA20544	NN	0/0	0/0
NA20581	NN	0/0	0/1
NA20582	NN	0/0	0/0
NA20585	NN	0/0	0/0
NA20586	II	1/1	1/1
NA20588	NN	0/0	0/0
NA20589	NN	0/0	0/0
NA20752	NI	0/1	0/1
NA20753	NN	0/0	0/0
NA20754	NN	0/0	0/0
NA20755	NI	0/1	0/1
NA20756	NN	0/0	0/0
NA20757	NN	0/0	0/0
NA20758	NN	0/0	0/0
NA20759	NI	0/1	0/1
NA20760	NN	0/0	0/0
NA20761	NN	0/0	0/0
NA20765	NN	0/0	0/0
NA20766	NN	0/0	0/0
NA20768	NN	0/0	0/0
NA20769	NN	0/0	0/0
NA20770	NN	0/0	0/0
NA20771	NN	0/0	0/0
NA20772	NN	0/0	0/0
NA20773	NN	0/0	0/0
NA20774	NN	0/0	0/0
NA20778	NN	0/0	0/0
NA20783	NN	0/0	0/0
NA20785	NN	0/0	0/0
NA20786	NN	0/0	0/0
NA20787	NN	0/0	0/0
NA20790	NN	0/0	0/0
NA20792	NN	0/0	0/0
NA20795	NI	0/1	0/1
NA20796	NN	0/0	0/0
NA20797	NN	0/0	0/0
NA20798	NN	0/0	0/0
NA20799	NN	0/0	0/0
NA20800	NI	0/1	0/1
NA20801	NN	0/0	0/0
NA20802	NI	0/1	0/1
NA20803	NI	0/1	0/1
NA20804	NN	0/0	0/0
NA20805	NN	0/0	0/0
NA20806	NN	0/0	0/0
NA20807	NN	0/0	0/0
NA20808	NN	0/0	0/0
NA20809	NN	0/0	0/0
NA20810	NI	0/1	0/1
NA20811	NN	0/0	0/0
NA20812	NN	0/0	0/0
NA20813	NI	0/1	0/1
NA20815	NN	0/0	0/0
NA20818	NN	0/0	0/0
NA20819	NN	0/0	0/0
NA20826	NN	0/0	0/0
NA20828	NN	0/0	0/0
NA18526	NN	0/0	0/0
NA18532	NN	0/0	0/0
NA18537	NN	0/0	0/0
NA18542	NN	0/0	0/0
NA18545	NN	0/0	0/0
NA18547	NI	0/1	0/1
NA18550	NN	0/0	0/0
NA18552	NN	0/0	0/0
NA18555	NN	0/0	0/0
NA18558	NI	0/1	0/1
NA18561	NN	0/0	0/0
NA18562	NI	0/1	0/1
NA18563	NN	0/0	0/0
NA18564	NI	0/1	0/1
NA18566	NI	0/1	0/1
NA18570	NN	0/0	0/0
NA18571	NN	0/0	0/0
NA18572	NN	0/0	0/0
NA18573	NN	0/0	0/0
NA18577	NN	0/0	0/0
NA18579	NN	0/0	0/0
NA18582	NN	0/0	0/0
NA18592	NN	0/0	0/0
NA18593	NI	0/1	0/1
NA18603	NN	0/0	0/0
NA18605	NI	0/1	0/1
NA18608	NI	0/1	0/1
NA18609	NN	0/0	0/0
NA18611	NI	0/1	0/1
NA18612	NN	0/0	0/0
NA18620	NN	0/0	0/0
NA18621	NN	0/0	0/1
NA18622	NI	0/1	0/1
NA18623	NN	0/0	0/0
NA18624	NN	0/0	0/0
NA18632	NN	0/0	0/0
NA18633	NN	0/0	0/0
NA18635	NN	0/0	0/0
NA18636	NN	0/0	0/0
NA18637	NN	0/0	0/0
NA18940	NI	0/1	0/1
NA18942	NI	0/1	0/1
NA18943	NN	0/0	0/0
NA18944	NI	0/1	0/1
NA18945	NN	0/0	0/0
NA18947	NN	0/0	0/0
NA18948	NN	0/0	0/0
NA18949	NI	0/1	0/1
NA18951	NN	0/0	0/0
NA18952	NN	0/0	0/0
NA18953	NN	0/0	0/0
NA18956	NI	0/1	0/1
NA18959	NI	0/1	0/1
NA18960	NN	0/0	0/0
NA18961	NN	0/0	0/0
NA18964	NN	0/0	0/0
NA18965	NN	0/0	0/0
NA18966	NN	0/0	0/0
NA18967	NN	0/0	0/0
NA18968	NN	0/0	0/0
NA18969	NN	0/0	0/0
NA18970	NN	0/0	0/0
NA18971	NN	0/0	0/0
NA18972	NN	0/0	0/0
NA18973	NN	0/0	0/0
NA18974	NN	0/0	0/0
NA18975	NN	0/0	0/0
NA18976	NN	0/0	0/0
NA18978	NN	0/0	0/0
NA18980	NI	0/1	0/1
NA18981	NN	0/0	0/0
NA18987	II	1/1	1/1
NA18990	NN	0/0	0/0
NA18991	NN	0/0	0/0
NA18992	NN	0/0	0/0
NA18994	NN	0/0	0/0
NA18995	NN	0/0	0/0
NA18997	NN	0/0	0/0
NA18998	NN	0/0	0/0
NA18999	NN	0/0	0/0
NA19000	NN	0/0	0/0
NA19003	II	1/1	1/1
NA19005	NN	0/0	0/0
NA19007	NN	0/0	0/0
NA19012	NN	0/0	0/0
