Samples	Result	ImpGenos	Experimental
NA18498	II	1/1	1/1
NA18502	NI	0/1	1/1
NA18505	NN	0/0	0/1
NA18507	NI	0/1	0/1
NA18508	NN	0/0	0/0
NA18517	II	1/1	1/1
NA18519	NN	0/0	0/0
NA18867	II	1/1	1/1
NA18870	NI	0/1	0/1
NA18910	II	1/1	1/1
NA19092	NI	0/1	1/1
NA19098	NI	0/1	0/1
NA19099	NI	0/1	0/1
NA19102	NI	0/1	0/1
NA19108	NN	0/0	0/0
NA19118	NN	0/0	0/0
NA19119	NN	0/0	0/0
NA19129	NN	0/0	0/0
NA19130	NN	0/0	0/1
NA19141	NN	0/0	0/1
NA19146	NI	0/1	0/1
NA19150	NI	0/1	0/1
NA19152	II	1/1	1/1
NA19160	NN	0/0	0/1
NA19171	NI	0/1	0/1
NA19189	II	1/1	1/1
NA19204	NI	0/1	0/1
NA19206	NI	0/1	0/1
NA19207	NN	0/0	0/0
NA19209	NN	0/0	1/1
NA19213	NI	0/1	0/1
NA19240	NI	0/1	0/1
NA11829	NN	0/0	0/0
NA11830	II	1/1	0/1
NA11831	NN	0/0	0/0
NA11832	II	1/1	0/1
NA11840	II	1/1	0/1
NA11881	II	1/1	1/1
NA11994	NI	0/1	0/1
NA11995	II	1/1	1/1
NA12004	II	1/1	1/1
NA12005	II	1/1	1/1
NA12043	II	1/1	0/0
NA12044	NN	0/0	0/0
NA12144	NN	0/0	0/0
NA12154	NN	0/0	0/0
NA12155	NN	0/0	0/0
NA12156	II	1/1	0/1
NA12234	II	1/1	0/1
NA12717	NN	0/0	0/1
NA12750	NN	0/0	0/1
NA12760	NN	0/0	0/0
NA12762	NN	0/0	0/0
NA12763	NN	0/0	0/0
NA12812	II	1/1	1/1
NA12813	NN	0/0	0/1
NA12814	NI	0/1	0/0
NA12815	II	1/1	0/0
NA12872	NI	0/1	0/1
NA12873	II	1/1	1/1
NA12874	II	1/1	0/0
NA12878	NN	0/0	0/0
NA18526	II	1/1	0/1
NA18537	NI	0/1	1/1
NA18550	II	1/1	0/1
NA18555	NI	0/1	0/1
NA18562	NI	0/1	1/1
NA18563	NI	0/1	1/1
NA18582	NI	0/1	1/1
NA18603	II	1/1	1/1
NA18606	II	1/1	0/1
NA18621	II	1/1	0/1
NA18622	NI	0/1	1/1
NA18628	NI	0/1	0/1
NA18632	II	1/1	0/1
NA18636	II	1/1	0/1
NA18647	NI	0/1	1/1
NA18942	NI	0/1	0/1
NA18945	II	1/1	0/1
NA18947	NI	0/1	1/1
NA18951	NI	0/1	1/1
NA18952	II	1/1	0/1
NA18953	NI	0/1	1/1
NA18956	NI	0/1	0/1
NA18965	NI	0/1	1/1
NA18970	NI	0/1	1/1
NA18973	NI	0/1	1/1
NA18977	NI	0/1	1/1
NA18987	II	1/1	0/1
NA18990	II	1/1	1/1
NA18995	NI	0/1	1/1
NA19003	NI	0/1	1/1
NA19010	NI	0/1	1/1
