Samples	Result	ImpGenos	Experimental
NA18498	NI	0/1	0/1
NA18502	II	1/1	1/1
NA18507	NN	0/0	0/0
NA18508	NI	0/1	0/1
NA18517	NI	0/1	0/1
NA18519	NN	0/0	0/0
NA18861	NI	0/1	0/1
NA18867	NN	0/0	0/0
NA18870	II	1/1	1/1
NA18910	II	1/1	1/1
NA18912	NI	0/1	0/0
NA19092	II	1/1	1/1
NA19093	NI	0/1	0/1
NA19098	NI	0/1	0/1
NA19099	NN	0/0	0/0
NA19102	NN	0/0	0/0
NA19108	NI	0/1	0/0
NA19116	II	1/1	1/1
NA19118	NN	0/0	0/0
NA19119	II	1/1	1/1
NA19129	NN	0/0	0/0
NA19130	II	1/1	1/1
NA19131	NN	0/0	0/0
NA19137	NN	0/0	0/0
NA19141	NN	0/0	0/0
NA19143	NN	0/0	0/0
NA19146	NI	0/1	0/1
NA19150	NN	0/0	0/0
NA19152	NN	0/0	0/0
NA19159	II	1/1	0/0
NA19160	NN	0/0	0/0
NA19171	NN	0/0	0/0
NA19172	II	1/1	1/1
NA19189	NI	0/1	0/1
NA19200	NN	0/0	0/0
NA19201	NI	0/1	0/0
NA19204	NI	0/1	0/1
NA19206	NN	0/0	0/0
NA19207	NI	0/1	0/1
NA19209	NN	0/0	0/0
NA19213	NN	0/0	0/0
NA19223	NN	0/0	0/0
NA19240	NN	0/0	0/0
NA06985	II	1/1	1/1
NA06994	NN	0/0	0/1
NA07000	NI	0/1	1/1
NA07048	NI	0/1	0/1
NA07056	NN	0/0	0/0
NA07357	NI	0/1	0/1
NA10847	NN	0/0	1/1
NA10851	NN	0/0	0/0
NA11829	NN	0/0	0/0
NA11830	NN	0/0	0/0
NA11831	NI	0/1	0/1
NA11832	NN	0/0	0/0
NA11840	NI	0/1	0/1
NA11881	NN	0/0	0/0
NA11992	NI	0/1	0/1
NA11994	NI	0/1	0/1
NA12003	NI	0/1	0/0
NA12004	NI	0/1	0/1
NA12005	II	1/1	1/1
NA12006	NI	0/1	0/1
NA12043	NN	0/0	0/0
NA12044	NI	0/1	0/1
NA12144	NI	0/1	0/1
NA12154	NI	0/1	0/1
NA12155	NI	0/1	0/1
NA12156	NI	0/1	0/1
NA12234	NN	0/0	0/0
NA12716	NN	0/0	0/0
NA12717	NI	0/1	0/1
NA12751	NI	0/1	0/1
NA12760	NI	0/1	0/1
NA12761	NI	0/1	0/1
NA12762	NI	0/1	0/1
NA12763	NI	0/1	0/1
NA12812	NN	0/0	0/1
NA12813	NI	0/1	0/0
NA12814	NN	0/0	0/0
NA12815	NI	0/1	0/1
NA12872	II	1/1	1/1
NA12873	NN	0/0	0/0
NA12874	NI	0/1	0/1
NA12878	NI	0/1	0/1
NA20502	NI	0/1	0/1
NA20504	II	1/1	1/1
NA20505	NN	0/0	0/0
NA20506	NN	0/0	0/1
NA20508	NI	0/1	0/1
NA20509	NI	0/1	0/1
NA20512	II	1/1	1/1
NA20515	NI	0/1	0/1
NA20516	NI	0/1	1/1
NA20517	NI	0/1	0/1
NA20518	NN	0/0	0/0
NA20519	NI	0/1	0/1
NA20520	NI	0/1	0/1
NA20521	NI	0/1	0/1
NA20522	NN	0/0	0/0
NA20527	II	1/1	1/1
NA20534	II	1/1	1/1
NA20535	NI	0/1	0/1
NA20538	II	1/1	1/1
NA20539	NI	0/1	0/1
NA20540	II	1/1	1/1
NA20541	NN	0/0	0/1
NA20542	NI	0/1	0/1
NA20543	NN	0/0	0/0
NA20544	NI	0/1	0/1
NA20581	II	1/1	1/1
NA20582	II	1/1	1/1
NA20585	NI	0/1	0/1
NA20589	NN	0/0	0/0
NA20752	II	1/1	1/1
NA20753	II	1/1	1/1
NA20754	NI	0/1	0/1
NA20755	II	1/1	1/1
NA20756	II	1/1	1/1
NA20757	II	1/1	1/1
NA20758	NI	0/1	0/1
NA20759	II	1/1	1/1
NA20760	II	1/1	1/1
NA20761	NI	0/1	0/1
NA20765	NN	0/0	0/0
NA20766	NI	0/1	0/1
NA20768	NI	0/1	1/1
