Samples	Result	ImpGenos	Experimental
NA06985	NI	0/1	0/1
NA06991	NN	0/0	0/1
NA06993	NI	0/1	1/1
NA06994	II	1/1	0/1
NA07000	II	1/1	0/1
NA07019	II	1/1	1/1
NA07022	II	1/1	1/1
NA07029	II	1/1	0/1
NA07034	II	1/1	1/1
NA07048	NI	0/1	0/1
NA07055	NI	0/1	0/1
NA07056	II	1/1	0/1
NA07345	NN	0/0	0/0
NA07348	NN	0/0	0/0
NA07357	NN	0/0	0/1
NA10830	NI	0/1	0/1
NA10831	II	1/1	1/1
NA10835	II	1/1	0/1
NA10838	II	1/1	0/1
NA10839	II	1/1	0/1
NA10846	II	1/1	0/1
NA10847	II	1/1	1/1
NA10851	II	1/1	0/1
NA10854	NI	0/1	0/1
NA10855	NN	0/0	0/1
NA10856	II	1/1	1/1
NA10857	II	1/1	1/1
NA10859	NN	0/0	0/0
NA10860	II	1/1	1/1
NA10861	II	1/1	1/1
NA10863	II	1/1	0/1
NA11829	II	1/1	1/1
NA11830	II	1/1	1/1
NA11831	NN	0/0	1/1
NA11832	II	1/1	0/1
NA11839	II	1/1	0/1
NA11840	NN	0/0	0/1
NA11881	NI	0/1	0/1
NA11882	NN	0/0	0/1
NA11992	NN	0/0	0/1
NA11993	II	1/1	1/1
NA11994	NN	0/0	0/1
NA11995	II	1/1	1/1
NA12003	II	1/1	0/1
NA12004	NN	0/0	0/0
NA12005	NN	0/0	0/0
NA12006	II	1/1	1/1
NA12043	NN	0/0	1/1
NA12044	II	1/1	0/1
NA12056	II	1/1	0/1
NA12057	II	1/1	0/1
NA12144	NI	0/1	0/1
NA12145	II	1/1	1/1
NA12146	II	1/1	1/1
NA12154	NI	0/1	0/1
NA12155	II	1/1	0/1
NA12156	II	1/1	0/1
NA12234	II	1/1	0/1
NA12236	NI	0/1	0/1
NA12239	II	1/1	0/1
NA12248	II	1/1	0/1
NA12249	II	1/1	0/0
NA12264	II	1/1	1/1
NA12707	II	1/1	0/0
NA12716	II	1/1	0/0
NA12717	II	1/1	0/0
NA12740	II	1/1	1/1
NA12750	II	1/1	1/1
NA12751	II	1/1	0/1
NA12752	NN	0/0	1/1
NA12753	NN	0/0	0/1
NA12760	NN	0/0	0/1
NA12761	II	1/1	1/1
NA12762	NI	0/1	1/1
NA12763	NN	0/0	0/1
NA12801	NN	0/0	0/0
NA12802	II	1/1	1/1
NA12812	NN	0/0	0/1
NA12813	NN	0/0	0/1
NA12814	II	1/1	1/1
NA12815	II	1/1	0/1
NA12864	II	1/1	1/1
NA12865	II	1/1	0/1
NA12872	II	1/1	1/1
NA12873	II	1/1	1/1
NA12874	II	1/1	0/1
NA12875	II	1/1	1/1
NA12878	II	1/1	1/1
NA12891	II	1/1	1/1
NA12892	II	1/1	0/1
NA20502	II	1/1	0/1
NA20504	II	1/1	0/1
NA20505	NI	0/1	0/1
NA20506	II	1/1	1/1
NA20508	II	1/1	1/1
NA20509	II	1/1	0/1
NA20510	NI	0/1	0/1
NA20512	NN	0/0	0/0
NA20515	NN	0/0	0/0
NA20516	NN	0/0	0/1
NA20517	NN	0/0	0/1
NA20518	II	1/1	1/1
NA20519	NN	0/0	0/0
NA20520	NN	0/0	0/0
NA20521	NI	0/1	0/1
NA20522	II	1/1	1/1
NA20524	II	1/1	1/1
NA20525	II	1/1	1/1
NA20527	NN	0/0	0/1
NA20528	II	1/1	0/1
NA20529	NN	0/0	0/1
NA20530	NN	0/0	0/0
NA20531	NN	0/0	1/1
NA20534	II	1/1	0/1
NA20535	II	1/1	0/1
NA20538	NI	0/1	0/1
NA20539	NN	0/0	0/0
NA20540	II	1/1	1/1
NA20541	NI	0/1	1/1
NA20542	NI	0/1	0/0
NA20543	NN	0/0	1/1
NA20544	II	1/1	1/1
NA20581	II	1/1	0/1
NA20582	NN	0/0	0/1
NA20585	II	1/1	0/1
NA20586	II	1/1	0/1
NA20588	NI	0/1	0/1
NA20589	II	1/1	1/1
NA20752	II	1/1	1/1
NA20753	II	1/1	0/1
NA20754	NN	0/0	0/1
NA20755	NI	0/1	0/1
NA20756	NI	0/1	0/0
NA20757	NN	0/0	0/1
NA20758	II	1/1	1/1
NA20759	NN	0/0	0/1
NA20760	II	1/1	0/1
NA20761	II	1/1	0/1
NA20765	NN	0/0	0/1
NA20766	NN	0/0	0/0
NA20768	NN	0/0	0/0
NA20769	II	1/1	0/1
NA20770	II	1/1	0/1
NA20771	II	1/1	0/1
NA20772	NN	0/0	0/0
NA20773	II	1/1	1/1
NA20774	II	1/1	1/1
NA20775	NN	0/0	0/0
NA20778	NN	0/0	0/0
NA20783	II	1/1	1/1
NA20785	NN	0/0	1/1
NA20786	II	1/1	1/1
NA20787	II	1/1	1/1
NA20790	NN	0/0	0/1
NA20792	NN	0/0	0/1
NA20795	II	1/1	1/1
NA20796	II	1/1	0/1
NA20797	II	1/1	0/1
NA20798	II	1/1	1/1
NA20799	NN	0/0	0/1
NA20800	II	1/1	0/1
NA20801	II	1/1	1/1
NA20802	II	1/1	1/1
NA20803	NI	0/1	0/1
NA20804	II	1/1	1/1
NA20805	NN	0/0	0/1
NA20806	II	1/1	1/1
NA20807	NN	0/0	0/1
NA20808	NN	0/0	1/1
NA20809	NN	0/0	0/0
NA20810	NN	0/0	1/1
NA20811	NI	0/1	0/0
NA20812	II	1/1	0/1
NA20813	NN	0/0	1/1
NA20815	II	1/1	1/1
NA20818	II	1/1	0/1
NA20819	NN	0/0	0/0
NA20826	NN	0/0	0/1
NA20828	II	1/1	1/1
